Centro,Consumo,Personal,año
x,xxxxxx,xxxxx,xxxx
ETSI Industriales,1316269,5651,2020
ETSI Industriales,2374821,5651,2019
ETSI Industriales,2409554,5651,2018
ETSI Industriales,2491879,5651,2017
ETSI Industriales,2703202,5651,2016
ETSI Industriales,3478044,5651,2015
ETSI Industriales,2296895,5651,2014
ETS Arquitectura,351473,5367,2020
ETS Arquitectura,192303,5367,2019
ETS Arquitectura,542023,5367,2018
ETS Arquitectura,167804,5367,2017
ETS Arquitectura,556584,5367,2016
ETS Arquitectura,551592,5367,2015
ETS Arquitectura,552250,5367,2014
ETS Edificación,291280,1566,2020
ETS Edificación,466355,1566,2019
ETS Edificación,417697,1566,2018
ETS Edificación,421130,1566,2017
ETS Edificación,403827,1566,2016
ETS Edificación,466202,1566,2015
ETS Edificación,496802,1566,2014
ETSI Informáticos,0,2514,2020
ETSI Informáticos,0,2514,2019
ETSI Informáticos,0,2514,2018
ETSI Informáticos,0,2514,2017
ETSI Informáticos,0,2514,2016
ETSI Informáticos,0,2514,2015
ETSI Informáticos,0,2514,2014
ETSI Aeronáutica y del Espacio,1509427,4418,2020
ETSI Aeronáutica y del Espacio,2174246,4418,2019
ETSI Aeronáutica y del Espacio,2105665,4418,2018
ETSI Aeronáutica y del Espacio,2221758,4418,2017
ETSI Aeronáutica y del Espacio,2053831,4418,2016
ETSI Aeronáutica y del Espacio,2179681,4418,2015
ETSI Aeronáutica y del Espacio,2187487,4418,2014
ETSI Agronómica Alimentaria y de Biosistema,1932030,2948,2020
ETSI Agronómica Alimentaria y de Biosistema,2404548,2948,2019
ETSI Agronómica Alimentaria y de Biosistema,2869876,2948,2018
ETSI Agronómica Alimentaria y de Biosistema,2195768,2948,2017
ETSI Agronómica Alimentaria y de Biosistema,2813894,2948,2016
ETSI Agronómica Alimentaria y de Biosistema,2961810,2948,2015
ETSI Agronómica Alimentaria y de Biosistema,2989298,2948,2014
ETSI Caminos Canales y Puertos,661014,2749,2020
ETSI Caminos Canales y Puertos,1513865,2749,2019
ETSI Caminos Canales y Puertos,1523446,2749,2018
ETSI Caminos Canales y Puertos,1262568,2749,2017
ETSI Caminos Canales y Puertos,1254576,2749,2016
ETSI Caminos Canales y Puertos,1535633,2749,2015
ETSI Caminos Canales y Puertos,1554991,2749,2014
ETSI Civil,189955,927,2020
ETSI Civil,85094,927,2019
ETSI Civil,344619,927,2018
ETSI Civil,150701,927,2017
ETSI Civil,414883,927,2016
ETSI Civil,418117,927,2015
ETSI Civil,412393,927,2014
ETSI Diseño Industrial,521372,3091,2020
ETSI Diseño Industrial,887400,3091,2019
ETSI Diseño Industrial,897612,3091,2018
ETSI Diseño Industrial,909370,3091,2017
ETSI Diseño Industrial,824835,3091,2016
ETSI Diseño Industrial,884207,3091,2015
ETSI Diseño Industrial,865644,3091,2014
ETSI Minas y Energía,500179,1981,2020
ETSI Minas y Energía,921610,1981,2019
ETSI Minas y Energía,985828,1981,2018
ETSI Minas y Energía,957813,1981,2017
ETSI Minas y Energía,951599,1981,2016
ETSI Minas y Energía,992499,1981,2015
ETSI Minas y Energía,599168,1981,2014
ETSI Montes Forestal y del Medio Natural,1181613,1513,2020
ETSI Montes Forestal y del Medio Natural,1555304,1513,2019
ETSI Montes Forestal y del Medio Natural,1316289,1513,2018
ETSI Montes Forestal y del Medio Natural,1323633,1513,2017
ETSI Montes Forestal y del Medio Natural,1213224,1513,2016
