Centro,Consumo,Personal,año
x,xxxxxx,xxxxx,xxxx
ETSI Industriales,378721,5651,2020
ETSI Industriales,168677,5651,2019
ETSI Industriales,147865,5651,2018
ETSI Industriales,606323,5651,2017
ETSI Industriales,667353,5651,2016
ETSI Industriales,377811,5651,2015
ETSI Industriales,76374,5651,2014
ETS Arquitectura,594508,5367,2020
ETS Arquitectura,0,5367,2019
ETS Arquitectura,0,5367,2018
ETS Arquitectura,1099530,5367,2017
ETS Arquitectura,981160,5367,2016
ETS Arquitectura,0,5367,2015
ETS Arquitectura,0,5367,2014
ETS Edificación,151946,1566,2020
ETS Edificación,0,1566,2019
ETS Edificación,0,1566,2018
ETS Edificación,278848,1566,2017
ETS Edificación,301198,1566,2016
ETS Edificación,0,1566,2015
ETS Edificación,0,1566,2014
ETSI Informáticos,330087,2514,2020
ETSI Informáticos,0,2514,2019
ETSI Informáticos,0,2514,2018
ETSI Informáticos,751517,2514,2017
ETSI Informáticos,39983,2514,2016
ETSI Informáticos,0,2514,2015
ETSI Informáticos,0,2514,2014
ETSI Aeronáutica y del Espacio,344287,4418,2020
ETSI Aeronáutica y del Espacio,65223,4418,2019
ETSI Aeronáutica y del Espacio,56961,4418,2018
ETSI Aeronáutica y del Espacio,674322,4418,2017
ETSI Aeronáutica y del Espacio,197068,4418,2016
ETSI Aeronáutica y del Espacio,72017,4418,2015
ETSI Aeronáutica y del Espacio,68360,4418,2014
ETSI Agronómica Alimentaria y de Biosistema,689450,2948,2020
ETSI Agronómica Alimentaria y de Biosistema,325553,2948,2019
ETSI Agronómica Alimentaria y de Biosistema,314092,2948,2018
ETSI Agronómica Alimentaria y de Biosistema,1205874,2948,2017
ETSI Agronómica Alimentaria y de Biosistema,775067,2948,2016
ETSI Agronómica Alimentaria y de Biosistema,359699,2948,2015
ETSI Agronómica Alimentaria y de Biosistema,288462,2948,2014
ETSI Caminos Canales y Puertos,1699465,2749,2020
ETSI Caminos Canales y Puertos,2395889,2749,2019
ETSI Caminos Canales y Puertos,2074569,2749,2018
ETSI Caminos Canales y Puertos,2220277,2749,2017
ETSI Caminos Canales y Puertos,1615161,2749,2016
ETSI Caminos Canales y Puertos,1942971,2749,2015
ETSI Caminos Canales y Puertos,1559337,2749,2014
ETSI Civil,191462,927,2020
ETSI Civil,205181,927,2019
ETSI Civil,270221,927,2018
ETSI Civil,200230,927,2017
ETSI Civil,158546,927,2016
ETSI Civil,195489,927,2015
ETSI Civil,201137,927,2014
ETSI Diseño Industrial,183230,3091,2020
ETSI Diseño Industrial,162628,3091,2019
ETSI Diseño Industrial,203790,3091,2018
ETSI Diseño Industrial,394797,3091,2017
ETSI Diseño Industrial,363066,3091,2016
ETSI Diseño Industrial,165188,3091,2015
ETSI Diseño Industrial,159808,3091,2014
ETSI Minas y Energía,567859,1981,2020
ETSI Minas y Energía,702604,1981,2019
ETSI Minas y Energía,646157,1981,2018
ETSI Minas y Energía,692475,1981,2017
ETSI Minas y Energía,742487,1981,2016
ETSI Minas y Energía,539035,1981,2015
ETSI Minas y Energía,510223,1981,2014
ETSI Montes Forestal y del Medio Natural,462971,1513,2020
ETSI Montes Forestal y del Medio Natural,265008,1513,2019
ETSI Montes Forestal y del Medio Natural,283357,1513,2018
ETSI Montes Forestal y del Medio Natural,631876,1513,2017
ETSI Montes Forestal y del Medio Natural,574817,1513,2016
ETSI Montes Forestal y del Medio Natural,216060,1513,2015
ETSI Montes Forestal y del Medio Natural,184364,1513,2014
ETSI Navales,146631,885,2020
ETSI Navales,16576,885,2019
ETSI Navales,17678,885,2018
ETSI Navales,275920,885,2017
ETSI Navales,317734,885,2016
ETSI Navales,0,885,2015
ETSI Navales,0,885,2014
ETSI Sistemas de Telecomunicación,787828.05,2103,2020
ETSI Sistemas de Telecomunicación,866332.8,2103,2019
ETSI Sistemas de Telecomunicación,931189.05,2103,2018
ETSI Sistemas de Telecomunicación,822575.25,2103,2017
ETSI Sistemas de Telecomunicación,690764.85,2103,2016
ETSI Sistemas de Telecomunicación,625910.4,2103,2015
ETSI Sistemas de Telecomunicación,696713.8500000001,2103,2014
ETSI Sistemas Informáticos,787828.05,1941,2020
ETSI Sistemas Informáticos,866332.8,1941,2019
ETSI Sistemas Informáticos,931189.05,1941,2018
ETSI Sistemas Informáticos,822575.25,1941,2017
ETSI Sistemas Informáticos,690764.85,1941,2016
ETSI Sistemas Informáticos,625910.4,1941,2015
ETSI Sistemas Informáticos,696713.8500000001,1941,2014
ETSI Telecomunicación,434040,3539,2020
ETSI Telecomunicación,82010,3539,2019
ETSI Telecomunicación,72832,3539,2018
ETSI Telecomunicación,542951,3539,2017
ETSI Telecomunicación,626000,3539,2016
ETSI Telecomunicación,0,3539,2015
ETSI Telecomunicación,0,3539,2014
ETSI Topografía Geodesia y Cartografía,62911,348,2020
ETSI Topografía Geodesia y Cartografía,0,348,2019
ETSI Topografía Geodesia y Cartografía,0,348,2018
ETSI Topografía Geodesia y Cartografía,174685,348,2017
ETSI Topografía Geodesia y Cartografía,133242,348,2016
ETSI Topografía Geodesia y Cartografía,0,348,2015
ETSI Topografía Geodesia y Cartografía,0,348,2014
INEF,788920,1625,2020
INEF,1133799,1625,2019
INEF,953755,1625,2018
INEF,1079016,1625,2017
INEF,757167,1625,2016
INEF,1073119,1625,2015
INEF,768876,1625,2014
Rectorado,216129,1430,2020
Rectorado,0,1430,2019
Rectorado,0,1430,2018
Rectorado,306706,1430,2017
Rectorado,290437,1430,2016
Rectorado,0,1430,2015
Rectorado,0,1430,2014
