Dia_semana,Dia,ConsumoDia
Wed,2014-01-01,32.520833333333336
Thu,2014-01-02,32.520833333333336
Fri,2014-01-03,32.520833333333336
Sat,2014-01-04,0.0
Sun,2014-01-05,0.0
Mon,2014-01-06,32.520833333333336
Tue,2014-01-07,32.520833333333336
Wed,2014-01-08,32.520833333333336
Thu,2014-01-09,32.520833333333336
Fri,2014-01-10,32.520833333333336
Sat,2014-01-11,0.0
Sun,2014-01-12,0.0
Mon,2014-01-13,32.520833333333336
Tue,2014-01-14,32.520833333333336
Wed,2014-01-15,32.520833333333336
Thu,2014-01-16,32.520833333333336
Fri,2014-01-17,32.520833333333336
Sat,2014-01-18,0.0
Sun,2014-01-19,0.0
Mon,2014-01-20,32.520833333333336
Tue,2014-01-21,32.520833333333336
Wed,2014-01-22,32.520833333333336
Thu,2014-01-23,32.520833333333336
Fri,2014-01-24,32.520833333333336
Sat,2014-01-25,0.0
Sun,2014-01-26,0.0
Mon,2014-01-27,32.520833333333336
Tue,2014-01-28,32.520833333333336
Wed,2014-01-29,32.520833333333336
Thu,2014-01-30,32.520833333333336
Fri,2014-01-31,32.520833333333336
Sat,2014-02-01,0.0
Sun,2014-02-02,0.0
Mon,2014-02-03,32.520833333333336
Tue,2014-02-04,32.520833333333336
Wed,2014-02-05,32.520833333333336
Thu,2014-02-06,32.520833333333336
Fri,2014-02-07,47.5
Sat,2014-02-08,0.0
Sun,2014-02-09,0.0
Mon,2014-02-10,47.5
Tue,2014-02-11,47.5
Wed,2014-02-12,47.5
Thu,2014-02-13,47.5
Fri,2014-02-14,47.5
Sat,2014-02-15,0.0
Sun,2014-02-16,0.0
Mon,2014-02-17,47.5
Tue,2014-02-18,47.5
Wed,2014-02-19,47.5
Thu,2014-02-20,47.5
Fri,2014-02-21,47.5
Sat,2014-02-22,0.0
Sun,2014-02-23,0.0
Mon,2014-02-24,47.5
Tue,2014-02-25,47.5
Wed,2014-02-26,47.5
Thu,2014-02-27,47.5
Fri,2014-02-28,47.5
Sat,2014-03-01,0.0
Sun,2014-03-02,0.0
Mon,2014-03-03,47.5
Tue,2014-03-04,47.5
Wed,2014-03-05,47.5
Thu,2014-03-06,47.5
Fri,2014-03-07,47.5
Sat,2014-03-08,0.0
Sun,2014-03-09,0.0
Mon,2014-03-10,47.5
Tue,2014-03-11,47.5
Wed,2014-03-12,47.5
Thu,2014-03-13,47.5
Fri,2014-03-14,47.5
Sat,2014-03-15,0.0
Sun,2014-03-16,0.0
Mon,2014-03-17,47.5
Tue,2014-03-18,47.5
Wed,2014-03-19,47.5
Thu,2014-03-20,47.5
Fri,2014-03-21,47.5
Sat,2014-03-22,0.0
Sun,2014-03-23,0.0
Mon,2014-03-24,47.5
Tue,2014-03-25,47.5
Wed,2014-03-26,47.5
Thu,2014-03-27,47.5
Fri,2014-03-28,47.5
Sat,2014-03-29,0.0
Sun,2014-03-30,0.0
Mon,2014-03-31,47.5
Tue,2014-04-01,47.5
Wed,2014-04-02,47.5
Thu,2014-04-03,47.5
Fri,2014-04-04,47.5
Sat,2014-04-05,0.0
Sun,2014-04-06,0.0
Mon,2014-04-07,44.51063829787234
Tue,2014-04-08,44.51063829787234
Wed,2014-04-09,44.51063829787234
Thu,2014-04-10,44.51063829787234
Fri,2014-04-11,44.51063829787234
Sat,2014-04-12,0.0
Sun,2014-04-13,0.0
Mon,2014-04-14,44.51063829787234
Tue,2014-04-15,44.51063829787234
Wed,2014-04-16,44.51063829787234
Thu,2014-04-17,44.51063829787234
Fri,2014-04-18,44.51063829787234
Sat,2014-04-19,0.0
Sun,2014-04-20,0.0
Mon,2014-04-21,44.51063829787234
Tue,2014-04-22,44.51063829787234
Wed,2014-04-23,44.51063829787234
Thu,2014-04-24,44.51063829787234
Fri,2014-04-25,44.51063829787234
Sat,2014-04-26,0.0
Sun,2014-04-27,0.0
Mon,2014-04-28,44.51063829787234
Tue,2014-04-29,44.51063829787234
Wed,2014-04-30,44.51063829787234
Thu,2014-05-01,44.51063829787234
Fri,2014-05-02,44.51063829787234
Sat,2014-05-03,0.0
Sun,2014-05-04,0.0
Mon,2014-05-05,44.51063829787234
Tue,2014-05-06,44.51063829787234
Wed,2014-05-07,44.51063829787234
Thu,2014-05-08,44.51063829787234
Fri,2014-05-09,44.51063829787234
Sat,2014-05-10,0.0
Sun,2014-05-11,0.0
Mon,2014-05-12,44.51063829787234
Tue,2014-05-13,44.51063829787234
Wed,2014-05-14,44.51063829787234
Thu,2014-05-15,44.51063829787234
Fri,2014-05-16,44.51063829787234
Sat,2014-05-17,0.0
Sun,2014-05-18,0.0
Mon,2014-05-19,44.51063829787234
Tue,2014-05-20,44.51063829787234
Wed,2014-05-21,44.51063829787234
Thu,2014-05-22,44.51063829787234
Fri,2014-05-23,44.51063829787234
Sat,2014-05-24,0.0
Sun,2014-05-25,0.0
Mon,2014-05-26,44.51063829787234
Tue,2014-05-27,44.51063829787234
Wed,2014-05-28,44.51063829787234
Thu,2014-05-29,44.51063829787234
Fri,2014-05-30,44.51063829787234
Sat,2014-05-31,0.0
Sun,2014-06-01,0.0
Mon,2014-06-02,44.51063829787234
Tue,2014-06-03,44.51063829787234
Wed,2014-06-04,44.51063829787234
Thu,2014-06-05,44.51063829787234
Fri,2014-06-06,44.51063829787234
Sat,2014-06-07,0.0
Sun,2014-06-08,0.0
Mon,2014-06-09,44.51063829787234
Tue,2014-06-10,46.75
Wed,2014-06-11,46.75
Thu,2014-06-12,46.75
Fri,2014-06-13,46.75
Sat,2014-06-14,0.0
Sun,2014-06-15,0.0
Mon,2014-06-16,46.75
Tue,2014-06-17,46.75
Wed,2014-06-18,46.75
Thu,2014-06-19,46.75
Fri,2014-06-20,46.75
Sat,2014-06-21,0.0
Sun,2014-06-22,0.0
Mon,2014-06-23,46.75
Tue,2014-06-24,46.75
Wed,2014-06-25,46.75
Thu,2014-06-26,46.75
Fri,2014-06-27,46.75
Sat,2014-06-28,0.0
Sun,2014-06-29,0.0
Mon,2014-06-30,46.75
Tue,2014-07-01,46.75
Wed,2014-07-02,46.75
Thu,2014-07-03,46.75
Fri,2014-07-04,46.75
Sat,2014-07-05,0.0
Sun,2014-07-06,0.0
Mon,2014-07-07,46.75
Tue,2014-07-08,46.75
Wed,2014-07-09,46.75
Thu,2014-07-10,46.75
Fri,2014-07-11,46.75
Sat,2014-07-12,0.0
Sun,2014-07-13,0.0
Mon,2014-07-14,46.75
Tue,2014-07-15,46.75
Wed,2014-07-16,46.75
Thu,2014-07-17,46.75
Fri,2014-07-18,46.75
Sat,2014-07-19,0.0
Sun,2014-07-20,0.0
Mon,2014-07-21,46.75
Tue,2014-07-22,46.75
Wed,2014-07-23,46.75
Thu,2014-07-24,46.75
Fri,2014-07-25,46.75
Sat,2014-07-26,0.0
Sun,2014-07-27,0.0
Mon,2014-07-28,46.75
Tue,2014-07-29,46.75
Wed,2014-07-30,46.75
Thu,2014-07-31,46.75
Fri,2014-08-01,46.75
Sat,2014-08-02,0.0
Sun,2014-08-03,0.0
Mon,2014-08-04,46.75
Tue,2014-08-05,46.75
Wed,2014-08-06,46.75
Thu,2014-08-07,46.75
Fri,2014-08-08,68.4186046511628
Sat,2014-08-09,0.0
Sun,2014-08-10,0.0
Mon,2014-08-11,68.4186046511628
Tue,2014-08-12,68.4186046511628
Wed,2014-08-13,68.4186046511628
Thu,2014-08-14,68.4186046511628
Fri,2014-08-15,68.4186046511628
Sat,2014-08-16,0.0
Sun,2014-08-17,0.0
Mon,2014-08-18,68.4186046511628
Tue,2014-08-19,68.4186046511628
Wed,2014-08-20,68.4186046511628
Thu,2014-08-21,68.4186046511628
Fri,2014-08-22,68.4186046511628
Sat,2014-08-23,0.0
Sun,2014-08-24,0.0
Mon,2014-08-25,68.4186046511628
Tue,2014-08-26,68.4186046511628
Wed,2014-08-27,68.4186046511628
Thu,2014-08-28,68.4186046511628
Fri,2014-08-29,68.4186046511628
Sat,2014-08-30,0.0
Sun,2014-08-31,0.0
Mon,2014-09-01,68.4186046511628
Tue,2014-09-02,68.4186046511628
Wed,2014-09-03,68.4186046511628
Thu,2014-09-04,68.4186046511628
Fri,2014-09-05,68.4186046511628
Sat,2014-09-06,0.0
Sun,2014-09-07,0.0
Mon,2014-09-08,68.4186046511628
Tue,2014-09-09,68.4186046511628
Wed,2014-09-10,68.4186046511628
Thu,2014-09-11,68.4186046511628
Fri,2014-09-12,68.4186046511628
Sat,2014-09-13,0.0
Sun,2014-09-14,0.0
Mon,2014-09-15,68.4186046511628
Tue,2014-09-16,68.4186046511628
Wed,2014-09-17,68.4186046511628
Thu,2014-09-18,68.4186046511628
Fri,2014-09-19,68.4186046511628
Sat,2014-09-20,0.0
Sun,2014-09-21,0.0
Mon,2014-09-22,68.4186046511628
