Centro,Consumo,Personal,año
x,xxxxxx,xxxxx,xxxx
ETSI Industriales,5454,5651,2020
ETSI Industriales,12615,5651,2019
ETSI Industriales,13132,5651,2018
ETSI Industriales,22511,5651,2017
ETSI Industriales,13397,5651,2016
ETSI Industriales,13341,5651,2015
ETSI Industriales,12876,5651,2014
ETS Arquitectura,3368,5367,2020
ETS Arquitectura,10696,5367,2019
ETS Arquitectura,9793,5367,2018
ETS Arquitectura,11743,5367,2017
ETS Arquitectura,10336,5367,2016
ETS Arquitectura,10242,5367,2015
ETS Arquitectura,9665,5367,2014
ETS Edificación,551,1566,2020
ETS Edificación,1981,1566,2019
ETS Edificación,1672,1566,2018
ETS Edificación,2300,1566,2017
ETS Edificación,2233,1566,2016
ETS Edificación,2581,1566,2015
ETS Edificación,5048,1566,2014
ETSI Informáticos,0,2514,2020
ETSI Informáticos,0,2514,2019
ETSI Informáticos,0,2514,2018
ETSI Informáticos,0,2514,2017
ETSI Informáticos,0,2514,2016
ETSI Informáticos,0,2514,2015
ETSI Informáticos,0,2514,2014
ETSI Aeronáutica y del Espacio,5524,4418,2020
ETSI Aeronáutica y del Espacio,16535,4418,2019
ETSI Aeronáutica y del Espacio,12654,4418,2018
ETSI Aeronáutica y del Espacio,11923,4418,2017
ETSI Aeronáutica y del Espacio,11711,4418,2016
ETSI Aeronáutica y del Espacio,14496,4418,2015
ETSI Aeronáutica y del Espacio,11378,4418,2014
ETSI Agronómica Alimentaria y de Biosistema,9276,2948,2020
ETSI Agronómica Alimentaria y de Biosistema,44159,2948,2019
ETSI Agronómica Alimentaria y de Biosistema,31085,2948,2018
ETSI Agronómica Alimentaria y de Biosistema,34499,2948,2017
ETSI Agronómica Alimentaria y de Biosistema,36884,2948,2016
ETSI Agronómica Alimentaria y de Biosistema,37555,2948,2015
ETSI Agronómica Alimentaria y de Biosistema,31777,2948,2014
ETSI Caminos Canales y Puertos,2217,2749,2020
ETSI Caminos Canales y Puertos,10671,2749,2019
ETSI Caminos Canales y Puertos,8847,2749,2018
ETSI Caminos Canales y Puertos,12723,2749,2017
ETSI Caminos Canales y Puertos,12248,2749,2016
ETSI Caminos Canales y Puertos,12857,2749,2015
ETSI Caminos Canales y Puertos,12474,2749,2014
ETSI Civil,622,927,2020
ETSI Civil,1785,927,2019
ETSI Civil,2140,927,2018
ETSI Civil,2517,927,2017
ETSI Civil,2930,927,2016
ETSI Civil,2946,927,2015
ETSI Civil,3391,927,2014
ETSI Diseño Industrial,2431,3091,2020
ETSI Diseño Industrial,4830,3091,2019
ETSI Diseño Industrial,4217,3091,2018
ETSI Diseño Industrial,5280,3091,2017
ETSI Diseño Industrial,5200,3091,2016
ETSI Diseño Industrial,5428,3091,2015
ETSI Diseño Industrial,5376,3091,2014
ETSI Minas y Energía,2008,1981,2020
ETSI Minas y Energía,4044,1981,2019
ETSI Minas y Energía,3940,1981,2018
ETSI Minas y Energía,4454,1981,2017
ETSI Minas y Energía,4176,1981,2016
ETSI Minas y Energía,4869,1981,2015
ETSI Minas y Energía,3274,1981,2014
ETSI Montes Forestal y del Medio Natural,8167,1513,2020
ETSI Montes Forestal y del Medio Natural,30696,1513,2019
ETSI Montes Forestal y del Medio Natural,16073,1513,2018
ETSI Montes Forestal y del Medio Natural,18635,1513,2017
ETSI Montes Forestal y del Medio Natural,27627,1513,2016
ETSI Montes Forestal y del Medio Natural,21847,1513,2015
ETSI Montes Forestal y del Medio Natural,22573,1513,2014
ETSI Navales,1850,885,2020
ETSI Navales,7625,885,2019
ETSI Navales,7427,885,2018
ETSI Navales,8501,885,2017
ETSI Navales,8731,885,2016
ETSI Navales,6824,885,2015
ETSI Navales,9180,885,2014
ETSI Sistemas de Telecomunicación,1631.6999999999998,2103,2020
ETSI Sistemas de Telecomunicación,3184.2,2103,2019
ETSI Sistemas de Telecomunicación,4342.05,2103,2018
