Dia_semana,Dia,ConsumoDia
L,0000-00-00,0.0
X,2014-01-01,24.015384615384615
J,2014-01-02,24.015384615384615
V,2014-01-03,24.015384615384615
S,2014-01-04,24.015384615384615
D,2014-01-05,24.015384615384615
L,2014-01-06,24.015384615384615
M,2014-01-07,24.015384615384615
X,2014-01-08,24.015384615384615
J,2014-01-09,24.015384615384615
V,2014-01-10,24.015384615384615
S,2014-01-11,24.015384615384615
D,2014-01-12,24.015384615384615
L,2014-01-13,24.015384615384615
M,2014-01-14,24.015384615384615
X,2014-01-15,24.015384615384615
J,2014-01-16,24.015384615384615
V,2014-01-17,24.015384615384615
S,2014-01-18,24.015384615384615
D,2014-01-19,24.015384615384615
L,2014-01-20,24.015384615384615
M,2014-01-21,24.015384615384615
X,2014-01-22,24.015384615384615
J,2014-01-23,24.015384615384615
V,2014-01-24,24.015384615384615
S,2014-01-25,24.015384615384615
D,2014-01-26,24.015384615384615
L,2014-01-27,24.015384615384615
M,2014-01-28,24.015384615384615
X,2014-01-29,24.015384615384615
J,2014-01-30,24.015384615384615
V,2014-01-31,24.015384615384615
S,2014-02-01,24.015384615384615
D,2014-02-02,24.015384615384615
L,2014-02-03,24.015384615384615
M,2014-02-04,24.015384615384615
X,2014-02-05,24.015384615384615
J,2014-02-06,24.015384615384615
V,2014-02-07,33.813559322033896
S,2014-02-08,33.813559322033896
D,2014-02-09,33.813559322033896
L,2014-02-10,33.813559322033896
M,2014-02-11,33.813559322033896
X,2014-02-12,33.813559322033896
J,2014-02-13,33.813559322033896
V,2014-02-14,33.813559322033896
S,2014-02-15,33.813559322033896
D,2014-02-16,33.813559322033896
L,2014-02-17,33.813559322033896
M,2014-02-18,33.813559322033896
X,2014-02-19,33.813559322033896
J,2014-02-20,33.813559322033896
V,2014-02-21,33.813559322033896
S,2014-02-22,33.813559322033896
D,2014-02-23,33.813559322033896
L,2014-02-24,33.813559322033896
M,2014-02-25,33.813559322033896
X,2014-02-26,33.813559322033896
J,2014-02-27,33.813559322033896
V,2014-02-28,33.813559322033896
S,2014-03-01,33.813559322033896
D,2014-03-02,33.813559322033896
L,2014-03-03,33.813559322033896
M,2014-03-04,33.813559322033896
X,2014-03-05,33.813559322033896
J,2014-03-06,33.813559322033896
V,2014-03-07,33.813559322033896
S,2014-03-08,33.813559322033896
D,2014-03-09,33.813559322033896
L,2014-03-10,33.813559322033896
M,2014-03-11,33.813559322033896
X,2014-03-12,33.813559322033896
J,2014-03-13,33.813559322033896
V,2014-03-14,33.813559322033896
S,2014-03-15,33.813559322033896
D,2014-03-16,33.813559322033896
L,2014-03-17,33.813559322033896
M,2014-03-18,33.813559322033896
X,2014-03-19,33.813559322033896
J,2014-03-20,33.813559322033896
V,2014-03-21,33.813559322033896
S,2014-03-22,33.813559322033896
D,2014-03-23,33.813559322033896
L,2014-03-24,33.813559322033896
M,2014-03-25,33.813559322033896
X,2014-03-26,33.813559322033896
J,2014-03-27,33.813559322033896
V,2014-03-28,33.813559322033896
S,2014-03-29,33.813559322033896
D,2014-03-30,33.813559322033896
L,2014-03-31,33.813559322033896
M,2014-04-01,33.813559322033896
X,2014-04-02,33.813559322033896
J,2014-04-03,33.813559322033896
V,2014-04-04,33.813559322033896
S,2014-04-05,33.813559322033896
D,2014-04-06,33.813559322033896
L,2014-04-07,32.6875
M,2014-04-08,32.6875
X,2014-04-09,32.6875
J,2014-04-10,32.6875
V,2014-04-11,32.6875
S,2014-04-12,32.6875
D,2014-04-13,32.6875
L,2014-04-14,32.6875
M,2014-04-15,32.6875
X,2014-04-16,32.6875
J,2014-04-17,32.6875
V,2014-04-18,32.6875
S,2014-04-19,32.6875
D,2014-04-20,32.6875
L,2014-04-21,32.6875
M,2014-04-22,32.6875
X,2014-04-23,32.6875
J,2014-04-24,32.6875
V,2014-04-25,32.6875
S,2014-04-26,32.6875
D,2014-04-27,32.6875
L,2014-04-28,32.6875
M,2014-04-29,32.6875
X,2014-04-30,32.6875
J,2014-05-01,32.6875
V,2014-05-02,32.6875
S,2014-05-03,32.6875
D,2014-05-04,32.6875
L,2014-05-05,32.6875
M,2014-05-06,32.6875
X,2014-05-07,32.6875
J,2014-05-08,32.6875
V,2014-05-09,32.6875
S,2014-05-10,32.6875
D,2014-05-11,32.6875
L,2014-05-12,32.6875
M,2014-05-13,32.6875
X,2014-05-14,32.6875
J,2014-05-15,32.6875
V,2014-05-16,32.6875
S,2014-05-17,32.6875
D,2014-05-18,32.6875
L,2014-05-19,32.6875
M,2014-05-20,32.6875
X,2014-05-21,32.6875
J,2014-05-22,32.6875
V,2014-05-23,32.6875
S,2014-05-24,32.6875
D,2014-05-25,32.6875
L,2014-05-26,32.6875
M,2014-05-27,32.6875
X,2014-05-28,32.6875
J,2014-05-29,32.6875
V,2014-05-30,32.6875
S,2014-05-31,32.6875
D,2014-06-01,32.6875
L,2014-06-02,32.6875
M,2014-06-03,32.6875
X,2014-06-04,32.6875
J,2014-06-05,32.6875
V,2014-06-06,32.6875
S,2014-06-07,32.6875
D,2014-06-08,32.6875
L,2014-06-09,32.6875
M,2014-06-10,34.86440677966102
X,2014-06-11,34.86440677966102
J,2014-06-12,34.86440677966102
V,2014-06-13,34.86440677966102
S,2014-06-14,34.86440677966102
D,2014-06-15,34.86440677966102
L,2014-06-16,34.86440677966102
M,2014-06-17,34.86440677966102
X,2014-06-18,34.86440677966102
J,2014-06-19,34.86440677966102
V,2014-06-20,34.86440677966102
S,2014-06-21,34.86440677966102
D,2014-06-22,34.86440677966102
L,2014-06-23,34.86440677966102
M,2014-06-24,34.86440677966102
X,2014-06-25,34.86440677966102
J,2014-06-26,34.86440677966102
V,2014-06-27,34.86440677966102
S,2014-06-28,34.86440677966102
D,2014-06-29,34.86440677966102
L,2014-06-30,34.86440677966102
M,2014-07-01,34.86440677966102
X,2014-07-02,34.86440677966102
J,2014-07-03,34.86440677966102
V,2014-07-04,34.86440677966102
S,2014-07-05,34.86440677966102
D,2014-07-06,34.86440677966102
L,2014-07-07,34.86440677966102
M,2014-07-08,34.86440677966102
