Dia_semana,Dia,ConsumoDia
L,0000-00-00,0.0
X,2014-01-01,6658.0
J,2014-01-02,6658.0
V,2014-01-03,6658.0
S,2014-01-04,6658.0
D,2014-01-05,6658.0
L,2014-01-06,6658.0
M,2014-01-07,6658.0
X,2014-01-08,6658.0
J,2014-01-09,6658.0
V,2014-01-10,6658.0
S,2014-01-11,6658.0
D,2014-01-12,6658.0
L,2014-01-13,6658.0
M,2014-01-14,6658.0
X,2014-01-15,6658.0
J,2014-01-16,6658.0
V,2014-01-17,6658.0
S,2014-01-18,6658.0
D,2014-01-19,6658.0
L,2014-01-20,6658.0
M,2014-01-21,6658.0
X,2014-01-22,6658.0
J,2014-01-23,6658.0
V,2014-01-24,6658.0
S,2014-01-25,6658.0
D,2014-01-26,6658.0
L,2014-01-27,6658.0
M,2014-01-28,6658.0
X,2014-01-29,6658.0
J,2014-01-30,6658.0
S,2014-02-01,7714.0
D,2014-02-02,7714.0
L,2014-02-03,7714.0
M,2014-02-04,7714.0
X,2014-02-05,7714.0
J,2014-02-06,7714.0
V,2014-02-07,7714.0
S,2014-02-08,7714.0
D,2014-02-09,7714.0
L,2014-02-10,7714.0
M,2014-02-11,7714.0
X,2014-02-12,7714.0
J,2014-02-13,7714.0
V,2014-02-14,7714.0
S,2014-02-15,7714.0
D,2014-02-16,7714.0
L,2014-02-17,7714.0
M,2014-02-18,7714.0
X,2014-02-19,7714.0
J,2014-02-20,7714.0
V,2014-02-21,7714.0
S,2014-02-22,7714.0
D,2014-02-23,7714.0
L,2014-02-24,7714.0
M,2014-02-25,7714.0
X,2014-02-26,7714.0
J,2014-02-27,7714.0
S,2014-03-01,6678.566666666667
D,2014-03-02,6678.566666666667
L,2014-03-03,6678.566666666667
M,2014-03-04,6678.566666666667
X,2014-03-05,6678.566666666667
J,2014-03-06,6678.566666666667
V,2014-03-07,6678.566666666667
S,2014-03-08,6678.566666666667
D,2014-03-09,6678.566666666667
L,2014-03-10,6678.566666666667
M,2014-03-11,6678.566666666667
X,2014-03-12,6678.566666666667
J,2014-03-13,6678.566666666667
V,2014-03-14,6678.566666666667
S,2014-03-15,6678.566666666667
D,2014-03-16,6678.566666666667
L,2014-03-17,6678.566666666667
M,2014-03-18,6678.566666666667
X,2014-03-19,6678.566666666667
J,2014-03-20,6678.566666666667
V,2014-03-21,6678.566666666667
S,2014-03-22,6678.566666666667
D,2014-03-23,6678.566666666667
L,2014-03-24,6678.566666666667
M,2014-03-25,6678.566666666667
X,2014-03-26,6678.566666666667
J,2014-03-27,6678.566666666667
V,2014-03-28,6678.566666666667
S,2014-03-29,6678.566666666667
D,2014-03-30,6678.566666666667
M,2014-04-01,5958.137931034483
X,2014-04-02,5958.137931034483
J,2014-04-03,5958.137931034483
V,2014-04-04,5958.137931034483
S,2014-04-05,5958.137931034483
D,2014-04-06,5958.137931034483
L,2014-04-07,5958.137931034483
M,2014-04-08,5958.137931034483
X,2014-04-09,5958.137931034483
J,2014-04-10,5958.137931034483
V,2014-04-11,5958.137931034483
S,2014-04-12,5958.137931034483
D,2014-04-13,5958.137931034483
L,2014-04-14,5958.137931034483
M,2014-04-15,5958.137931034483
X,2014-04-16,5958.137931034483
J,2014-04-17,5958.137931034483
V,2014-04-18,5958.137931034483
S,2014-04-19,5958.137931034483
D,2014-04-20,5958.137931034483
L,2014-04-21,5958.137931034483
M,2014-04-22,5958.137931034483
X,2014-04-23,5958.137931034483
J,2014-04-24,5958.137931034483
V,2014-04-25,5958.137931034483
S,2014-04-26,5958.137931034483
D,2014-04-27,5958.137931034483
L,2014-04-28,5958.137931034483
M,2014-04-29,5958.137931034483
J,2014-05-01,6382.6
V,2014-05-02,6382.6
S,2014-05-03,6382.6
D,2014-05-04,6382.6
L,2014-05-05,6382.6
M,2014-05-06,6382.6
X,2014-05-07,6382.6
J,2014-05-08,6382.6
V,2014-05-09,6382.6
S,2014-05-10,6382.6
D,2014-05-11,6382.6
L,2014-05-12,6382.6
M,2014-05-13,6382.6
X,2014-05-14,6382.6
J,2014-05-15,6382.6
V,2014-05-16,6382.6
S,2014-05-17,6382.6
D,2014-05-18,6382.6
L,2014-05-19,6382.6
M,2014-05-20,6382.6
X,2014-05-21,6382.6
