"Campus","NombreCentro","Centro","Dirección","Recurso","TipoCentro","FechaInicioLectura","FechaFinLectura","FechaEmisionFactura","ConsumoP1","ConsumoP2","ConsumoP3","ConsumoP4","ConsumoP5","ConsumoP6","ConsumoTotal","AñoFinLectura"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","11/19/2020 0:00","12/15/2020 0:00","1/4/2021 0:00","","","","","","","140944","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","10/16/2020 0:00","11/18/2020 0:00","12/1/2020 0:00","","","","","","","98260","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","9/23/2020 0:00","10/15/2020 0:00","11/3/2020 0:00","","","","","","","6666","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","10/22/2020 0:00","10/31/2020 0:00","12/7/2020 0:00","","","","","","","9324","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","9/1/2020 0:00","9/30/2020 0:00","11/6/2020 0:00","","","","","","","40095","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","10/1/2020 0:00","10/21/2020 0:00","11/6/2020 0:00","","","","","","","15368","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","8/20/2020 0:00","9/22/2020 0:00","10/1/2020 0:00","","","","","","","1787","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","7/1/2020 0:00","7/31/2020 0:00","9/15/2020 0:00","","","","","","","66474","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","8/1/2020 0:00","8/31/2020 0:00","9/15/2020 0:00","","","","","","","52237","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","7/16/2020 0:00","8/19/2020 0:00","9/1/2020 0:00","","","","","","","9672","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","6/13/2020 0:00","6/30/2020 0:00","8/3/2020 0:00","","","","","","","13765","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","7/1/2020 0:00","7/15/2020 0:00","8/3/2020 0:00","","","","","","","11471","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","6/1/2020 0:00","6/30/2020 0:00","7/8/2020 0:00","","","","","","","18956","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","5/14/2020 0:00","6/12/2020 0:00","7/1/2020 0:00","","","","","","","0","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","","","7/1/2020 0:00","","","","","","","0",""
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","5/1/2020 0:00","5/31/2020 0:00","6/29/2020 0:00","","","","","","","15765","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","4/23/2020 0:00","5/13/2020 0:00","6/1/2020 0:00","","","","","","","0","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","4/1/2020 0:00","4/30/2020 0:00","5/26/2020 0:00","","","","","","","13369","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Agua","Otros Centros","3/2/2020 0:00","4/30/2020 0:00","5/6/2020 0:00","","","","","","","160","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Agua","Otros Centros","3/2/2020 0:00","4/30/2020 0:00","5/6/2020 0:00","","","","","","","0","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","3/24/2020 0:00","4/22/2020 0:00","5/1/2020 0:00","","","","","","","0","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","3/1/2020 0:00","3/31/2020 0:00","4/20/2020 0:00","","","","","","","27525","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","2/18/2020 0:00","3/23/2020 0:00","4/1/2020 0:00","","","","","","","63909","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","2/1/2020 0:00","2/29/2020 0:00","3/23/2020 0:00","","","","","","","42783","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Agua","Otros Centros","1/2/2020 0:00","3/2/2020 0:00","3/3/2020 0:00","","","","","","","192","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Agua","Otros Centros","1/2/2020 0:00","3/2/2020 0:00","3/3/2020 0:00","","","","","","","0","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","1/18/2020 0:00","2/17/2020 0:00","3/1/2020 0:00","","","","","","","132612","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","1/1/2020 0:00","1/31/2020 0:00","2/11/2020 0:00","","","","","","","54991","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Gas","Otros Centros","12/14/2019 0:00","1/17/2020 0:00","2/1/2020 0:00","","","","","","","125143","2020"
"Campus Sur","Biblioteca Campus Sur","18","C/ Alan Turing, 1 - 28031 Madrid","Electricidad","Otros Centros","12/1/2019 0:00","12/31/2019 0:00","1/13/2020 0:00","","","","","","","52163","2019"
